id	parent	name	content	isDifficult	isModelling
4,4,2,1	4,4,2	Prove thms. algebraically	Use coordinates to prove simple geometric theorems algebraically. For example, prove or disprove that a figure defined by four given points in the coordinate plane is a rectangle; prove or disprove that the point (1, √3) lies on the circle centered at the origin and containing the point (0, 2).	F	F
4,4,2,2	4,4,2	Slope criteria	Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).	F	F
4,4,2,3	4,4,2	Midpoints	Find the point on a directed line segment between two given points that partitions the segment in a given ratio.	F	F
4,4,2,4	4,4,2	Polygon formulas	Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.	F	T
4,5	4	Measurement and dimension	Geometric Measurement and Dimension	F	F
4,5,1	4,5	Volume formulas	Explain volume formulas and use them to solve problems	F	F
4,5,1,1	4,5,1	Common volumes	Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri’s principle, and informal limit arguments.	F	F
4,5,1,2	4,5,1	Cavalieri’s principle	Give an informal argument using Cavalieri’s principle for the formulas for the volume of a sphere and other solid figures.	T	F
4,5,1,3	4,5,1	Volume formula problems	Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.	F	T
4,5,2	4,5	2D and 3D shapes	Visualize relationships between two-dimensional and three- dimensional objects	F	F
4,5,2,1	4,5,2	Cross-sections and rotations	Identify the shapes of two-dimensional cross-sections of three- dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.	F	F
4,6	4	Geometric modeling	Modeling with Geometry	F	F
4,6,1	4,6	Identify geometric situations	Apply geometric concepts in modeling situations	F	F
4,6,1,1	4,6,1	Approximate complex shapes	Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).	F	T
4,6,1,2	4,6,1	Density	Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).	F	T
4,6,1,3	4,6,1	Design problems	Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).	F	T
5	root	Statistics and probability	Statistics and Probability	F	T
5,1	5	Categorical/quantitative data	Interpreting Categorical and Quantitative Data	F	T
5,1,1	5,1	Data summaries	Summarize, represent, and interpret data on a single count or measurement variable	F	T
5,1,1,1	5,1,1	Common plots	Represent data with plots on the real number line (dot plots, histograms, and box plots).	F	T
5,1,1,2	5,1,1	Distribution shapes	Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.	F	T
5,1,1,3	5,1,1	Distribution interpretation	Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).	F	T
5,1,1,4	5,1,1	Mean and standard deviation	Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate.  Use calculators, spreadsheets, and tables to estimate areas under the normal curve.	F	T
5,1,2	5,1	Bivariate data	Summarize, represent, and interpret data on two categorical and quantitative variables	F	T
5,1,2,1	5,1,2	Frequency tables	Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.	F	T
5,1,2,2	5,1,2	Scatter plots	Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.	F	T
5,1,2,2,1	5,1,2,2	Regression	Fit a function to the data; use functions fitted to data to solve problems in the context of the data. Use given functions or choose a function suggested by the context. Emphasize linear, quadratic, and exponential models.	F	T
5,1,2,2,2	5,1,2,2	Assess regression fit	Informally assess the fit of a function by plotting and analyzing residuals.	F	T
5,1,2,2,3	5,1,2,2	Fit linear functions	Fit a linear function for a scatter plot that suggests a linear association.	F	T
5,1,3	5,1	Linear models	Interpret linear models	F	T
5,1,3,1	5,1,3	Interpret function parameters	Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.	F	T
5,1,3,2	5,1,3	Compute correlation coefficient	Compute (using technology) and interpret the correlation coefficient of a linear fit.	F	T
5,1,3,3	5,1,3	Correlation vs. causation	Distinguish between correlation and causation.	F	T
5,2	5	Statistical inferences	Making Inferences and Justifying Conclusions	F	T
5,2,1	5,2	Stochastic processes	Understand and evaluate random processes underlying statistical experiments	F	T
5,2,1,1	5,2,1	Sample to population inference	Understand statistics as a process for making inferences about population parameters based on a random sample from that population.	F	T
5,2,1,2	5,2,1	Test models	Decide if a specified model is consistent with results from a given data-generating process, e.g., using simulation. For example, a model says a spinning coin falls heads up with probability 0.5. Would a result of 5 tails in a row cause you to question the model?	F	T
5,2,2	5,2	Justify conclusions with experiment	Make inferences and justify conclusions from sample surveys, experiments, and observational studies	F	T
5,2,2,1	5,2,2	Compare experiments	Recognize the purposes of and differences among sample surveys, experiments, and observational studies; explain how randomization relates to each.	F	T
5,2,2,2	5,2,2	Estimate population parameters	Use data from a sample survey to estimate a population mean or proportion; develop a margin of error through the use of simulation models for random sampling.	F	T
5,2,2,3	5,2,2	Significant differences	Use data from a randomized experiment to compare two treatments; use simulations to decide if differences between parameters are significant.	F	T
5,2,2,4	5,2,2	Evaluate reports	Evaluate reports based on data.	F	T
5,3	5	Probability fundamentals	Conditional Probability and the Rules of Probability	F	T
5,3,1	5,3	Independent/conditional events	Understand independence and conditional probability and use them to interpret data	F	T
5,3,1,1	5,3,1	Sample spaces	Describe events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes, or as unions, intersections, or complements of other events ("or," "and," "not").	F	T
5,3,1,2	5,3,1	Define independence	Understand that two events A and B are independent if the probability of A and B occurring together is the product of their probabilities, and use this characterization to determine if they are independent.	F	T
5,3,1,3	5,3,1	Conditional probability	Understand the conditional probability of A given B as P(A and B)/P(B), and interpret independence of A and B as saying that the conditional probability of A given B is the same as the probability  of A, and the conditional probability of B given A is the same as the probability of B.	F	T
5,3,1,4	5,3,1	Two categorical variables	Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities. For example, collect data from a random sample of students in your school on their favorite subject among math, science, and English. Estimate the probability that a randomly selected student from your school will favor science given that the student is in tenth grade. Do the same for other subjects and compare the results.	F	T
5,3,1,5	5,3,1	Bayes’ thm.	Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations. For example, compare the chance of having lung cancer if you are a smoker with the chance of being a smoker if you have lung cancer.	F	T
5,3,2	5,3	Compound events	Use the rules of probability to compute probabilities of compound events in a uniform probability model	F	T
5,3,2,1	5,3,2	Construct conditional probability	Find the conditional probability of A given B as the fraction of B’s outcomes that also belong to A, and interpret the answer in terms of the model.	F	T
5,3,2,2	5,3,2	Event unions	Apply the Addition Rule, P(A or B) = P(A) + P(B) – P(A and B), and interpret the answer in terms of the model.	F	T
5,3,2,3	5,3,2	Apply conditional probability	Apply the general Multiplication Rule in a uniform probability model, P(A and B) = P(A)P(B|A) = P(B)P(A|B), and interpret the answer in terms of the model.	T	T
5,3,2,4	5,3,2	Permutation and combination	Use permutations and combinations to compute probabilities of compound events and solve problems.	T	T
5,4	5	Deciding with uncertainty	Using Probability to Make Decisions	F	T
5,4,1	5,4	Expected values	Calculate expected values and use them to solve problems	F	T
5,4,1,1	5,4,1	Probability distributions	Define a random variable for a quantity of interest by assigning a numerical value to each event in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.	T	T
5,4,1,2	5,4,1	Random variables	Calculate the expected value of a random variable; interpret it as the mean of the probability distribution.	T	T
5,4,1,3	5,4,1	Calculate expected value	Develop a probability distribution for a random variable defined for a sample space in which theoretical probabilities can be calculated; find the expected value. For example, find the theoretical probability distribution for the number of correct answers obtained by guessing on all five questions of a multiple-choice test where each question has four choices, and find the expected grade under various grading schemes.	T	T
5,4,1,4	5,4,1	Empirical distribution	Develop a probability distribution for a random variable defined  for a sample space in which probabilities are assigned empirically; find the expected value. For example, find a current data distribution on the number of TV sets per household in the United States, and calculate the expected number of sets per household. How many TV sets would you expect to find in 100 randomly selected households?	T	T
5,4,2	5,4	Evaluate decisions	Use probability to evaluate outcomes of decisions	F	T
5,4,2,1	5,4,2	Weigh outcomes by expected value	Weigh the possible outcomes of a decision by assigning probabilities to payoff values and finding expected values.	T	T
5,4,2,1,1	5,4,2,1	Game outcomes	Find the expected payoff for a game of chance. For example, find the expected winnings from a state lottery ticket or a game at a fast- food restaurant.	F	T
5,4,2,1,2	5,4,2,1	Compare strategies	Evaluate and compare strategies on the basis of expected values. For example, compare a high-deductible versus a low-deductible automobile insurance policy using various, but reasonable, chances of having a minor or a major accident.	F	T
5,4,2,2	5,4,2	Fair decisions	Use probabilities to make fair decisions (e.g., drawing by lots, using a random number generator).	T	T
5,4,2,3	5,4,2	Real-world strategies	Analyze decisions and strategies using probability concepts (e.g., product testing, medical testing, pulling a hockey goalie at the end of a game).	T	T
1	root	Numbers	Number and quantity	F	F
